"Date of Auction","Auction List No.","Lot No.","Description","Quantity","Unit"
"14/07/2022","2/2022","M-159","Film Camera with Standard Lens (Brand: Bronica)",1,"No."
"14/07/2022","2/2022","M-159","Flash Meter (Brand: Minolta)",1,"No."
"14/07/2022","2/2022","M-159","F4 lens (40mm) (Brand: Bronica)",1,"No."
"14/07/2022","2/2022","M-159","Film Back (6cm x 4.5cm) (Brand: Bronica)",1,"No."
"14/07/2022","2/2022","M-159","Sky Light Filter (62mm) (Brand: Vivitir)",1,"No."
"14/07/2022","2/2022","M-159","Flash (Brand: Metz)",1,"No."
"14/07/2022","2/2022","M-159","Automatic Extension Tube (Brand: Bronics, Model: E14)",1,"Piece"
"14/07/2022","2/2022","M-159","Grid Lines Focus Screen",1,"No."
"14/07/2022","2/2022","M-159","Skylight Filter (62mm) (Brand: Arrow)",1,"No."
"14/07/2022","2/2022","M-159","Flash Meter (Brand: Sekonic)",1,"No."
"14/07/2022","2/2022","M-159","Camera (Brand: Minolta, Model: Hi-mate F)",1,"No."
"14/07/2022","2/2022","M-159","Tripod Head (Brand: Linhof)",1,"No."
"14/07/2022","2/2022","M-159","Camera Grip",1,"No."
"14/07/2022","2/2022","M-159","Camera View Finder",1,"No."
"14/07/2022","2/2022","M-159","Automatic Extension Tube (Model: E14)",1,"No."
"14/07/2022","2/2022","M-159","Camera Back (24mm x 36mm)",1,"No."
"14/07/2022","2/2022","M-159","Focusing Screen",1,"No."
"14/07/2022","2/2022","M-159","Flash (Brand: Nikon, Model: SB-26)",2,"Nos."
"14/07/2022","2/2022","M-159","Lens (Brand: Bronica, Model: ETSI)",1,"No."
"14/07/2022","2/2022","M-159","Camera (Brand: Pentax, Model: ES P10 928)",1,"No."
"14/07/2022","2/2022","M-159","Shutter Cable (Brand: Nikon, Model: MC-30)",2,"Pieces"
"14/07/2022","2/2022","M-159","Filter (Brand: Cokin, Model: P ring 62)",1,"No."
"14/07/2022","2/2022","M-159","Polariod Film Back (Brand: Bronica)",1,"No."
"14/07/2022","2/2022","M-159","Camera Body (Brand: Nikon, Model: F100)",1,"No."
"14/07/2022","2/2022","M-159","Flash (Brand: Nikon, Model: SB-28)",1,"No."
"14/07/2022","2/2022","M-159","Lens (Brand: Nikon, Model: 24-85/2.8-4D)",1,"No."
"14/07/2022","2/2022","M-159","Flash (Brand: Nikon, Model: SB800)",1,"No."
"14/07/2022","2/2022","M-159","Flash (Brand: Nikon, Model: SB-80DX)",1,"No."
"14/07/2022","2/2022","M-159","Battery Box (Model: SD-9)",1,"No."
"14/07/2022","2/2022","M-159","Flash (Brand: Nikon, Model: SB-500)",1,"No."
"14/07/2022","2/2022","M-160","Fuji Xerox CT 201938",28,"Nos."
"14/07/2022","2/2022","M-160","Panasonic UG5575",4,"Nos."
"14/07/2022","2/2022","M-161","Fujixerox CT201938",29,"Nos."
"14/07/2022","2/2022","M-161","Fujixerox 113R00684",1,"No."
"14/07/2022","2/2022","M-161","Fujixerox CT201160",10,"Nos."
"14/07/2022","2/2022","M-161","Kyocera TK8525",15,"Nos."
"14/07/2022","2/2022","M-161","Kyocera TK3114",3,"Nos."
"14/07/2022","2/2022","M-161","Lexmark E360H11P",1,"No."
"14/07/2022","2/2022","M-161","Lexmark 523HE",1,"No."
"14/07/2022","2/2022","M-161","Samsung MLT-D205L",6,"Nos."
"14/07/2022","2/2022","M-161","Samsung MLT-D203L",15,"Nos."
"14/07/2022","2/2022","M-161","Panasonic UG5575",7,"Nos."
"14/07/2022","2/2022","M-162","HP CF280X",2,"Nos."
"14/07/2022","2/2022","M-162","HP CE505XC",1,"No."
"14/07/2022","2/2022","M-162","HP CB383AC",1,"No."
"14/07/2022","2/2022","M-162","HP CB381AC",1,"No."
"14/07/2022","2/2022","M-162","HP Q7516AC",1,"No."
"14/07/2022","2/2022","M-162","Panasonic DQ H360R Imaging Drum",1,"No."
"14/07/2022","2/2022","M-162","Panasonic DQ TU33R",1,"No."
"14/07/2022","2/2022","M-162","Ricoh MP-4500S",1,"No."
"14/07/2022","2/2022","M-162","HP CB381A",7,"Nos."
"14/07/2022","2/2022","M-162","HP CB382A",7,"Nos."
"14/07/2022","2/2022","M-162","HP CB383A",7,"Nos."
"14/07/2022","2/2022","M-162","HP CB384A Imaging Drum",2,"Nos."
"14/07/2022","2/2022","M-162","HP CB385A Imaging Drum",2,"Nos."
"14/07/2022","2/2022","M-162","HP CB386A Imaging Drum",3,"Nos."
"14/07/2022","2/2022","M-162","HP CB387A Imaging Drum",2,"Nos."
"14/07/2022","2/2022","M-163","Multi-Master (Brand: Select, Model: MS-XE-636II)",1,"No."
"14/07/2022","2/2022","M-163","Indoor Antenna Signal Receiver (Brand: OS-GEMINI, Model: PHN1672)",1,"No."
"14/07/2022","2/2022","M-163","16-Channel Video Encoder (Brand: Bosch, Model: VIDEOJET MULTI 4016)",1,"No."
"14/07/2022","2/2022","M-163","Flat Panel Antenna",4,"Nos."
"14/07/2022","2/2022","M-163","Dish Antenna",2,"Nos."
"14/07/2022","2/2022","M-163","Antenna Receiver",1,"No."
"14/07/2022","2/2022","M-163","Video Encoder (Brand: Univision, Model: VIP-X1)",11,"Sets"
"14/07/2022","2/2022","M-164","Cellular Terminal (Brand: Ericsson, Model: F251M)",1,"No."
"14/07/2022","2/2022","M-164","Telescopic Antenna",1,"No."
"14/07/2022","2/2022","M-164","Antenna, Outdoor",1,"No."
"14/07/2022","2/2022","M-164","Encapsulated Switch Mode Power Supply (Brand: Cosel, Model: DPG500)",2,"Nos."
"14/07/2022","2/2022","M-164","Power Supply Unit (Brand: Kikushi, Model: PAD55-20L)",1,"No."
"14/07/2022","2/2022","M-164","Power Supply, Direct Current Dual Tracking (Brand: Kikushi, Model: PDM35-3)",1,"No."
"14/07/2022","2/2022","M-164","Data Interface Unit (Brand: Nokia, Model: TFE-2)",1,"No."
"14/07/2022","2/2022","M-164","Public Address Amplifier Speaker (Brand: Senrun, Model: EP-900A(U2))",1,"Set"
"14/07/2022","2/2022","M-164","Wireless Audio System (Brand: Avermedia, Model: AW330)",1,"Set"
"14/07/2022","2/2022","M-165","Mobile Phone (Brand: Nokia, Model: 3120)",4,"Nos."
"14/07/2022","2/2022","M-166","Digital Camera (Brand: Sony, Model: DSC WX-70)",8,"Nos."
"14/07/2022","2/2022","M-166","Electric Stapler (Brand: Rapid, Model: 5050)",1,"No."
"14/07/2022","2/2022","M-166","Mobile Phone (Brand: Nokia, Model: 3120)",8,"Nos."
"14/07/2022","2/2022","M-166","Mobile Phone (Brand: Nokia, Model: 8250)",1,"No."
"14/07/2022","2/2022","M-166","Mobile Phone (Brand: Erisson, Model: T18sc)",2,"Nos."
"14/07/2022","2/2022","M-166","Mobile Phone (Brand: Nokia, Model: 2630)",1,"No."
"14/07/2022","2/2022","M-167","Radio Transceiver (Brand: Mototola, Model: GP300)",4,"Nos."
"14/07/2022","2/2022","M-167","Mobile Phone (Brand: Motorola, Model: V171)",1,"No."
"14/07/2022","2/2022","M-167","Mobile Phone (Brand: Nokia, Model: 3310)",1,"No."
"14/07/2022","2/2022","M-167","Mobile Phone (Brand: Nokia, Model: 6150)",1,"No."
"14/07/2022","2/2022","M-168","Mobile Phone (Brand: Nokia, Model: 3120)",8,"Nos."
"14/07/2022","2/2022","M-169","Paper Shredder (Brand: HSM, Model: 104.2C)",1,"No."
"14/07/2022","2/2022","M-169","Cross-cut Shredder (Brand: Universal, Model: S-2000)",2,"Nos."
"14/07/2022","2/2022","M-170","Digital Video Camera (Model: GR-DVP3SH)",1,"No."
"14/07/2022","2/2022","M-170","Stand for Bar-code Scanner (Brand: PSC, Model: QS5385-17)",1,"No."
"14/07/2022","2/2022","M-170","Bar-code Scanner (Brand: PSC, Model: QS5385-17)",1,"No."
"14/07/2022","2/2022","M-170","Chinese Input Writing Tablet",6,"Nos."
"14/07/2022","2/2022","M-170","Electronic Sealing Wax Heater",1,"No."
"14/07/2022","2/2022","M-170","Tea Urn",1,"No."
"14/07/2022","2/2022","M-170","Recorder (Model: GA-868)",1,"No."
"14/07/2022","2/2022","M-170","Electronic Typewritwer (Brand: Olymia, Model: Compact 5DM)",1,"No."
"14/07/2022","2/2022","M-170","Video Cassette Recorder (Brand: Panasonic, Model: NVHS800B)",1,"No."
"14/07/2022","2/2022","M-170","Barcode Scanner (Brand: Skorpio)",1,"No."
"14/07/2022","2/2022","M-171","Rechargeable Battery (Brand: Leica, Model: GEB70)",1,"No."
"14/07/2022","2/2022","M-171","Rechargeable Battery (Brand: Nikon, Model: By-2)",2,"Nos."
"14/07/2022","2/2022","M-171","Rechargeable Battery",2,"Nos."
"14/07/2022","2/2022","M-171","Rechargeable Battery (Brand: Leica, Model: GEB171)",1,"No."
"14/07/2022","2/2022","M-171","Rechargeable Battery (Brand: Topcon, Model: BT-24 QW)",2,"Nos."
"14/07/2022","2/2022","M-171","Indoor Wireless Telephone",1,"No."
"14/07/2022","2/2022","M-171","Indoor Wireless Telephone",1,"No."
"14/07/2022","2/2022","M-171","External CD Writer",1,"No."
"14/07/2022","2/2022","M-171","Mobile Phone (Brand: Erisson, Model: 3315)",1,"No."
"14/07/2022","2/2022","M-171","Mobile Phone (Brand: Erisson, Model: T18SC)",1,"No."
"14/07/2022","2/2022","M-171","Mobile Phone (Brand: Nokia, Model: 8250)",2,"Nos."
"14/07/2022","2/2022","M-172","Paper Shredder (Brand: Ideal, Model: 2270CC)",1,"No."
"14/07/2022","2/2022","M-172","Projector (Brand: Panasonic, Model: 3500 lumens PT-LB90EA)",1,"No."
"14/07/2022","2/2022","M-172","Electric Projector Screen (Brand: Grandview, Model: M-64(GB/WM))",1,"No."
"14/07/2022","2/2022","M-172","Mixing Amplifier (Brand: Panasonic, Model: WA-H120)",1,"No."
"14/07/2022","2/2022","M-172","Digital Recorder (Brand: SAFA, Model: SR-M550)",1,"No."
"14/07/2022","2/2022","M-172","Digital Recorder (Brand: SAFA, Model: SR-M550)",1,"No."
"14/07/2022","2/2022","M-172","Digital Camera (Brand: SONY, Model: DSC-WX300)",1,"No."
"14/07/2022","2/2022","M-172","Instant Camera (Brand: Polaroid, Model: 600)",2,"Nos."
"14/07/2022","2/2022","M-172","Instant Camera (Brand: Polaroid, Model: 645CL)",1,"No."
"14/07/2022","2/2022","M-172","Digital Camera (Brand: Canon, Model: Power Shot A85)",1,"No."
"14/07/2022","2/2022","M-172","Digital Camera (Brand: Canon, Model: A-630)",2,"Nos."
"14/07/2022","2/2022","M-172","Digital Camera (Brand: Canon, Model: A-520)",1,"No."
"14/07/2022","2/2022","M-172","Digital Camera (Brand: Canon, Model: PorcerShot G2)",1,"No."
"14/07/2022","2/2022","M-172","Digital Camera (Brand: Nikon, Model: COOLPIX 2500)",2,"Nos."
"14/07/2022","2/2022","M-172","Camera (Brand: Pentax, Model: 928QD)",3,"Nos."
"14/07/2022","2/2022","M-172","Camera (Brand: Fuji, Model: Zoom 120)",1,"No."
"14/07/2022","2/2022","M-172","Instant Camera (Brand: Polaroid, Model: 636)",3,"Nos."
"14/07/2022","2/2022","M-173","Tyre",133,"Nos."
"14/07/2022","2/2022","M-174","Tyre",66,"Nos."
"14/07/2022","2/2022","M-175","Hi-Fi System",3,"Nos."
"14/07/2022","2/2022","M-175","DVD Player",1,"No."
"14/07/2022","2/2022","M-176","Metal Book Shelf",1,"No."
"14/07/2022","2/2022","M-176","Metal Table",1,"No."
"14/07/2022","2/2022","M-176","Printer (Brand: Ricoh, Model: Aficio C2050) (Approx. 100kg)",1,"No."
"14/07/2022","2/2022","M-176","Color LaserJet Printer (Brand: HP, Model: CP4005N) (Approx. 48kg)",1,"No."
"14/07/2022","2/2022","M-177","3-seater Chair",2,"Nos."
"14/07/2022","2/2022","M-177","Outdoor Dining Table with Foldable Chairs (2' x 6')",13,"Nos."
"14/07/2022","2/2022","M-177","Tea Urn 18L",1,"No."
"14/07/2022","2/2022","M-177","Steel Movable Platform (96"" x 40"" x 67"")",1,"No."
"14/07/2022","2/2022","M-177","Graphic Calculator (Model: T1-83)",40,"Nos."
"14/07/2022","2/2022","M-177","Calculator-Based Ranger/Calculator-Based Laboratory System",12,"Nos."
"14/07/2022","2/2022","M-177","Viewscreen Package (Model: T1-83 VS II)",2,"Sets"
"14/07/2022","2/2022","M-177","Repeater (Brand: Sensaki, Model: S9868)",50,"Nos."
"14/07/2022","2/2022","M-178","Mobile Phone (Brand: Nokia, Model: 8310)",1,"No."
"14/07/2022","2/2022","M-178","Mobile Phone (Brand: Nokia, Model: 6610)",3,"Nos."
"14/07/2022","2/2022","M-178","Mobile Phone (Brand: Nokia, Model: 6610I)",2,"Nos."
"14/07/2022","2/2022","M-178","Mobile Phone (Brand: Nokia, Model: E65)",5,"Nos."
"14/07/2022","2/2022","M-178","Mobile Phone (Brand: Nokia, Model: 8250)",1,"No."
"14/07/2022","2/2022","M-178","Mobile Phone (Brand: Sony Ericsson, Model: T630)",1,"No."
"14/07/2022","2/2022","M-179","Drawing Table (over 80kg)",1,"No."
"14/07/2022","2/2022","M-179","Projector, Overhead (Tabletop)",1,"No."
"14/07/2022","2/2022","M-180","Mobile Phone (Brand: Nokia, Model: 3120)",5,"Nos."
"14/07/2022","2/2022","M-180","Mobile Phone (Brand: Nokia, Model: 8250)",2,"Nos."
"14/07/2022","2/2022","M-180","Bluetooth Pocket PC (Brand: MIO, Model: A201)",1,"No."
"14/07/2022","2/2022","M-180","Label Printer (Brand: Brother, Model: PT 9200DX)",1,"No."
"14/07/2022","2/2022","M-181","Binoculars",10,"Nos."
"14/07/2022","2/2022","M-181","Instant Camera (Brand: Polaroid)",8,"Nos."
"14/07/2022","2/2022","M-181","Instant Camera (Brand: Fuji)",1,"No."
"14/07/2022","2/2022","M-182","Mobile Phone (Brand: Nokia, Model: 6300)",2,"Nos."
"14/07/2022","2/2022","M-182","Mobile Phone (Brand: Samsung, Model: Galaxy Gio)",1,"No."
"14/07/2022","2/2022","M-182","Mobile Phone (Brand: Nokia, Model: X3-02)",1,"No."
"14/07/2022","2/2022","M-182","Mobile Phone (Brand: Blackberry, Model: BB9700)",1,"No."
"14/07/2022","2/2022","M-183","Fast Real-Time Polymerase Chain Reaction System (Brand: ABI, Model: 7900HT)",1,"No."
"14/07/2022","2/2022","M-183","Smart Cycler (Processing Block) (Brand: Cepheid, Model: 900-0067)",1,"No."
"14/07/2022","2/2022","M-183","Automic Cryotome (Brand: Shandon, Model: AS620E)",1,"No."
"14/07/2022","2/2022","M-183","Autostainer (Brand: Leica, Model: ST5010XL)",1,"No."
"14/07/2022","2/2022","M-183","Tissue Processor (Brand: Leica, Model: SLE-0530)",1,"No."
"14/07/2022","2/2022","M-183","Shandon Cryotome Cryostat (Brand: Thermo, Model: 77200226)",1,"No."
"14/07/2022","2/2022","M-184","Aluminium Name Plates (Size: L200mm x H50mm x D8mm)",2,"Nos."
"14/07/2022","2/2022","M-184","Thermal Pot (4L) (Brand: Panasonic, Model: NC-BH40P)",1,"No."
"14/07/2022","2/2022","M-184","Electric Steamer (10L) (Brand: Philips, Model: HD9140/91)",1,"No."
"14/07/2022","2/2022","M-184","Electric Drilling Machine (Brand: Uchida, Model: VS-25)",1,"No."
"14/07/2022","2/2022","M-184","Paper Shredder (Brand: HSM, Model: Securio B22)",1,"No."
"14/07/2022","2/2022","M-184","Aluminium Name Plate (Size: L200mm x H50mm x D8mm) and Aluminium Stand (Size: L213mm x H108mm x D14mm)",1,"Set"
"14/07/2022","2/2022","M-184","4-drawer Steel Filing Cabinet (Size: W465mm x H1315mm x D610mm)",2,"Nos."
"14/07/2022","2/2022","M-184","Thermal Pot (4L) (Brand: Panasonic, Model: NC-BH40P)",2,"Nos."
"14/07/2022","2/2022","M-185","Cordless Stereo Headphone (Brand: Philips, Model: SBC HC365)",1,"No."
"14/07/2022","2/2022","M-185","MP3 Player (512MB) (Brand: SAFA, Model: SR-M550F)",1,"No."
"14/07/2022","2/2022","M-185","Wireless Microphone (Brand: National, Model: WX-480A)",1,"No."
"14/07/2022","2/2022","M-185","Electronic Calculator (Brand: CASIO, Model: JS-20L)",10,"Nos."
"14/07/2022","2/2022","M-185","Hole Punch",1,"No."
"14/07/2022","2/2022","M-185","Heavy Duty Stapler",1,"No."
"14/07/2022","2/2022","M-186","Roller Shutter Filing Steel Cabinet",8,"Nos."
"14/07/2022","2/2022","M-186","Anti Mosquito Lamp",6,"Nos."
"14/07/2022","2/2022","M-187","Digital Organ with 2 Speakers (Brand: Allen) (Approx. 30kg)",1,"No."
"14/07/2022","2/2022","M-188","Hydraulic Jack (Model: S140)",1,"No."
"14/07/2022","2/2022","M-188","Hydraulic Jack (Model: SJ-20S-3)",1,"No."
"14/07/2022","2/2022","M-189","Portable Generator (Brand: Honda)",1,"No."
"14/07/2022","2/2022","M-189","Dipmeter (50m)",6,"Nos."
"14/07/2022","2/2022","M-189","Dipmeter (Brand: Slope Indicator Co.)",1,"No."
"14/07/2022","2/2022","M-189","Inclinometer (0.6m) (Brand: Sinco)",2,"Nos."
"14/07/2022","2/2022","M-189","Tiltmeter Sensor (Brand: Sinco)",1,"Box"
"14/07/2022","2/2022","M-189","Wooden Tripod (Brand: Leica)",8,"Nos."
"14/07/2022","2/2022","M-189","Prism Set Triple Adaptor (Brand: Sokkisha)",2,"Nos."
"14/07/2022","2/2022","M-189","Prism (Brand: Aga)",27,"Nos."
"14/07/2022","2/2022","M-189","Theodolite Adaptor (Brand: Wild)",1,"No."
"14/07/2022","2/2022","M-189","Tribach with Optical Plummet (Brand: Sokkia)",4,"Nos."
"14/07/2022","2/2022","M-189","Tribach with Optical Plummet (Brand: Leica)",6,"Nos."
"14/07/2022","2/2022","M-189","Tribach Adaptor",9,"Nos."
"14/07/2022","2/2022","M-189","Mini Prism Set (Brand: Nikko)",1,"No."
"14/07/2022","2/2022","M-189","Prism Holder (Brand: Aga)",1,"No."
"14/07/2022","2/2022","M-189","Single Prism Holder (Brand: Aga)",6,"Nos."
"14/07/2022","2/2022","M-189","Twin Prism Holder (Brand: Aga)",4,"Nos."
"14/07/2022","2/2022","M-189","Prism Pole (1.3m) (Brand: Leica)",3,"Nos."
"14/07/2022","2/2022","M-189","Ranging Pole",1,"No."
"14/07/2022","2/2022","M-189","Lighting Device for Leveling Staff",2,"Nos."
"14/07/2022","2/2022","M-189","Survey Traffic Sign",3,"Nos."
"14/07/2022","2/2022","M-189","Prismatic Compass",2,"Nos."
"14/07/2022","2/2022","M-189","Thermometer in Metal Case",1,"No."
"14/07/2022","2/2022","M-189","Tribach with Optical Plummet (Brand: Sokkia)",6,"Nos."
"14/07/2022","2/2022","M-189","Wooden Tripod (Brand: Leica)",15,"Nos."
"14/07/2022","2/2022","M-189","Aluminum Tripod",1,"No."
"14/07/2022","2/2022","M-189","Prism Pole (1.3m) (Brand: Leica and Aga)",35,"Nos."
"14/07/2022","2/2022","M-189","Extended Pole (1.0m) (Brand: Leica)",4,"Nos."
"14/07/2022","2/2022","M-189","Bar Code Staff (4.0m)",6,"Nos."
"14/07/2022","2/2022","M-189","Staff (5m) (Brand: Myzox)",24,"Nos."
"14/07/2022","2/2022","M-189","Stand for Staff",2,"Nos."
"14/07/2022","2/2022","M-189","Extended Pole for Prism (1m)",2,"Nos."
"14/07/2022","2/2022","M-189","Tripod for Reflector Pole",3,"Nos."
"14/07/2022","2/2022","M-189","Ranging Pole (1.5m)",19,"Nos."
"14/07/2022","2/2022","M-189","Hedge Shear",1,"No."
"14/07/2022","2/2022","M-189","Axe",4,"Nos."
"14/07/2022","2/2022","M-189","Shovel",2,"Nos."
"14/07/2022","2/2022","M-189","Machete",4,"Nos."
"14/07/2022","2/2022","M-189","Hoe",1,"No."
"14/07/2022","2/2022","M-189","Measuring Tape (50m) (Brand: Yamayo)",7,"Nos."
"14/07/2022","2/2022","M-189","Steel Tape (100m)",5,"Nos."
"14/07/2022","2/2022","M-189","Digitilt Indicator (Brand: Sinco, Model: 50309)",2,"Nos."
"14/07/2022","2/2022","M-189","Inclinometer (1.7m) (Brand: Sinco)",1,"No."
"14/07/2022","2/2022","M-189","Battery Charger (Brand: Aga)",3,"Nos."
"14/07/2022","2/2022","M-189","Battery Charger (Brand: Leica)",1,"No."
"14/07/2022","2/2022","M-189","Charger Adapter (Brand: Aga)",2,"Nos."
"14/07/2022","2/2022","M-189","Battery Box (Brand: Wild)",2,"Nos."
"14/07/2022","2/2022","M-190","HP CB380A",4,"Nos."
"14/07/2022","2/2022","M-190","HP CB381A",2,"Nos."
"14/07/2022","2/2022","M-190","HP CB382A",2,"Nos."
"14/07/2022","2/2022","M-190","HP CB383A",2,"Nos."
"14/07/2022","2/2022","M-190","HP CB384A Imaging Drum",2,"Nos."
"14/07/2022","2/2022","M-190","HP CB385A Imaging Drum",1,"No."
"14/07/2022","2/2022","M-190","HP CB386A Imaging Drum",2,"Nos."
"14/07/2022","2/2022","M-190","HP CB387A Imaging Drum",2,"Nos."
"14/07/2022","2/2022","M-190","HP Q7553AC",1,"No."
"14/07/2022","2/2022","M-190","HP Q7516AC",3,"Nos."
"14/07/2022","2/2022","M-190","Panasonic UG-5575",4,"Nos."
"14/07/2022","2/2022","M-190","Panasonic UG-3313",2,"Nos."
"14/07/2022","2/2022","M-190","Sharp MX-23AT-YA",1,"No."
"14/07/2022","2/2022","M-190","HP CE505XD",4,"Nos."
"14/07/2022","2/2022","M-190","HP CF280XC",14,"Nos."
"14/07/2022","2/2022","M-190","Kyocera TK-8509Y",13,"Nos."
"14/07/2022","2/2022","M-190","Kyocera TK-8509M",13,"Nos."
"14/07/2022","2/2022","M-190","Kyocera TK-8509C",12,"Nos."
"14/07/2022","2/2022","M-190","Kyocera TK-8509K",22,"Nos."
"14/07/2022","2/2022","M-190","Kyocera TK-8604Y",7,"Nos."
"14/07/2022","2/2022","M-190","Kyocera TK-8604M",6,"Nos."
"14/07/2022","2/2022","M-190","Kyocera TK-8604C",8,"Nos."
"14/07/2022","2/2022","M-190","Kyocera TK-8604K",7,"Nos."
"14/07/2022","2/2022","M-191","Piano (Brand: Ottostein, Model: SU 118)",1,"No."
"14/07/2022","2/2022","M-191","Electronic Keyboard (Brand: Yamaha, Model: PSR-200)",1,"No."
"14/07/2022","2/2022","M-191","Bass Recorder (Brand: Aulous, Model: 533)",1,"No."
"14/07/2022","2/2022","M-191","Bass Recorder (Brand: Angel, Model: 1001T)",1,"No."
"14/07/2022","2/2022","M-192","Paper Shredder (Brand: Kobra, Model: K240S4)",1,"No."
"14/07/2022","2/2022","M-192","Projector (Brand: Panasonic, Model: PTLBONT) (Dismantled)",1,"No."
"14/07/2022","2/2022","M-192","Binding Machine (Model: PB21)",1,"No."
"14/07/2022","2/2022","M-192","Projector (Brand: Panasonic, Model: PT-VX41) (Dismantled)",1,"No."
"14/07/2022","2/2022","M-192","Convertible Poster Stand (Model: XL-IS)",4,"Nos."
"14/07/2022","2/2022","M-193","Digital Camera (Waterproof)",1,"No."
"14/07/2022","2/2022","M-193","Double Tape Cassette Deck",1,"No."
"14/07/2022","2/2022","M-193","Portable Radio Transceiver (Brand: Motorola, Model: P3688)",2,"Nos."
"14/07/2022","2/2022","M-193","Wheelchair with Hand Brake Function",3,"Nos."
"14/07/2022","2/2022","M-193","Whiteboard",1,"No."
"14/07/2022","2/2022","M-193","Facsimile Machine",1,"No."
"14/07/2022","2/2022","M-194","Paper Shredder (Brand: KOBRA, Model: 240SS2)",1,"No."
"14/07/2022","2/2022","M-194","Floor Dryer (Brand: HaoTian)",4,"Nos."
"14/07/2022","2/2022","M-194","Electronic Whiteboard (Brand: IWB, Model: IWB-MB078)",2,"Nos."
"14/07/2022","2/2022","M-195","Folding Table, Size: 1800mm x 600mm",4,"Nos."
"14/07/2022","2/2022","M-195","Roller Shutter Door Steel Cabinet",1,"No."
"14/07/2022","2/2022","M-195","Etching Press",2,"Nos."
"14/07/2022","2/2022","M-195","Turntable, Diameter: 250mm",10,"Nos."
"14/07/2022","2/2022","M-195","Button Making Machine",1,"No."
"14/07/2022","2/2022","M-196","Canon 328",1,"No."
"14/07/2022","2/2022","M-196","HP CE 205A",1,"No."
"14/07/2022","2/2022","M-196","HP CE 250XC",3,"Nos."
"14/07/2022","2/2022","M-196","HP CE 251AC",1,"No."
"14/07/2022","2/2022","M-196","HP CE 252AC",3,"Nos."
"14/07/2022","2/2022","M-196","HP CE 253AC",3,"Nos."
"14/07/2022","2/2022","M-196","HP CE 278A",9,"Nos."
"14/07/2022","2/2022","M-196","HP CE 505AC",1,"No."
"14/07/2022","2/2022","M-196","HP CE 505XC",26,"Nos."
"14/07/2022","2/2022","M-196","HP CF 280XC",15,"Nos."
"14/07/2022","2/2022","M-196","HP CF 400A",3,"Nos."
"14/07/2022","2/2022","M-196","HP CF 401A",2,"Nos."
"14/07/2022","2/2022","M-196","HP CF 402A",3,"Nos."
"14/07/2022","2/2022","M-196","HP CF 403A",2,"Nos."
"14/07/2022","2/2022","M-196","HP Q1338A",1,"No."
"14/07/2022","2/2022","M-196","HP Q5949A",5,"Nos."
"14/07/2022","2/2022","M-196","HP Q7516A",18,"Nos."
"14/07/2022","2/2022","M-196","HP Q7553XC",23,"Nos."
"14/07/2022","2/2022","M-196","Ricoh SP150",1,"No."
"14/07/2022","2/2022","M-196","Kyocera TK1177",1,"No."
"14/07/2022","2/2022","M-196","Kyocera TK3167",2,"Nos."
"14/07/2022","2/2022","M-196","Kyocera TK8604C",2,"Nos."
"14/07/2022","2/2022","M-196","Kyocera TK8604K",1,"No."
"14/07/2022","2/2022","M-196","Kyocera TK8604M",1,"No."
"14/07/2022","2/2022","M-196","Kyocera TK8604Y",2,"Nos."
"14/07/2022","2/2022","M-196","Brother TN2280",1,"No."
"14/07/2022","2/2022","M-196","Panasonic UG-3380",6,"Nos."
"14/07/2022","2/2022","M-197","Roller Shutter Cabinet (Wooden)",25,"Nos."
"14/07/2022","2/2022","M-198","Digital Camera (Brand: Canon, Model: XUS 75)",1,"No."
"14/07/2022","2/2022","M-198","Digital Camera (Brand: Canon, Model: PowerShot G10)",1,"No."
"14/07/2022","2/2022","M-198","Digital Video Recorder (Brand: Canon, Model: DC210)",1,"No."
"14/07/2022","2/2022","M-198","Headphone (Model: SM-750MV)",26,"Nos."
"14/07/2022","2/2022","M-198","Card Reader (Model: ACR30U)",8,"Nos."
"14/07/2022","2/2022","M-198","Switch (Brand: 3COM, Model: 2848)",1,"No."
"14/07/2022","2/2022","M-198","Digital Projector (Brand: Toshiba, Model: TDP-T100) (Dismantled)",1,"No."
"14/07/2022","2/2022","M-198","Digital Projector (Brand: Toshiba, Model: TDP-XP1) (Dismantled)",1,"No."
"14/07/2022","2/2022","M-199","Electronic Whiteboard (Panaboard, Brand: Panasonic, Model: KXB630)",1,"No."
"14/07/2022","2/2022","M-199","Facsimile Machine (Brand: Panasonic, Model: UF-7300)",1,"No."
"14/07/2022","2/2022","M-199","Facsimile Machine (Brand: Panasonic, Model: UF-5300)",1,"No."
"14/07/2022","2/2022","M-199","Lens 1.6-3.4MM (Brand: COSMICAR/PENTAX, Model: 1122TS2V114E)",2,"Nos."
"14/07/2022","2/2022","M-199","Facsimile Machine, Heavy Duty Plain Paper (Brand: Panasonic, Model: UF890-FHG4HF00066)",1,"No."
"14/07/2022","2/2022","M-200","Camera Lens (Brand: Nikon, Model: 105mm)",1,"No."
"14/07/2022","2/2022","M-200","Underwater Housing (Brand: Nauticam, Model: D7000)",1,"No."
"14/07/2022","2/2022","M-200","Underwater Housing (Brand: AMPHIBICO, Model: AX2000)",1,"No."
"14/07/2022","2/2022","M-200","Digital Camera (Brand: Canon, Model: G15)",1,"No."
"14/07/2022","2/2022","M-200","Digital Camcorder (Brand: Sony, Model: HDR-TD10)",1,"No."
